tile,is_tumor,wagner_attn,vl_msi_minus_mss,vl_quality
100,False,6.2197265e-05,-0.024202783,0.010037491
101,False,6.073614e-05,-0.017923065,-0.009241883
102,False,6.644804e-05,-0.026233602,0.023585148
103,False,5.8514666e-05,-0.031109245,0.010885112
104,False,5.9355694e-05,-0.02143126,-0.0011259802
105,False,6.0115017e-05,-0.017711304,-0.007273333
106,False,6.370813e-05,-0.0061331554,-0.011670714
107,False,6.466397e-05,0.00055350503,-0.005903138
108,False,6.2749685e-05,-0.032447066,-0.014270462
109,False,6.321134e-05,-0.020245014,0.0040171035
110,False,6.640985e-05,-0.022735253,0.00053185923
111,False,6.368873e-05,-0.017809086,0.00604631
112,False,6.182809e-05,-0.020551953,-0.0036232648
113,False,6.675489e-05,-0.020133197,-0.011484662
114,False,6.120079e-05,0.0017023757,0.0016607083
115,False,5.8061505e-05,-0.024757735,0.020733133
116,False,6.039503e-05,-0.01843469,0.01129188
117,False,6.1911625e-05,-0.023392512,-0.01329031
118,False,6.335983e-05,-0.035074316,-0.009315442
119,False,6.473496e-05,-0.023841167,-0.0034017158
120,False,6.490381e-05,-0.01574081,-0.010387108
121,False,6.463767e-05,-0.009053725,0.0064464267
122,False,6.5002816e-05,-0.010852495,0.0030244282
123,False,6.3044514e-05,-0.017502524,-0.0092040375
124,False,6.194436e-05,-0.027400754,-0.011657844
125,False,6.135206e-05,-0.0082692,0.007917557
126,False,6.1054416e-05,-0.011206746,0.007494293
127,False,6.41002e-05,-0.014292001,0.0041077244
128,False,6.576803e-05,-0.0056456244,-0.007864739
129,False,6.214719e-05,-0.017220307,-0.011477226
130,False,6.476667e-05,-0.012322526,-0.0020416956
131,False,6.0462262e-05,-0.022202712,0.010347597
132,False,6.207262e-05,-0.0155676445,0.005503361
133,False,6.0710146e-05,-0.03147987,-0.011894409
134,False,6.0905808e-05,-0.016625809,0.0019253045
135,False,6.258083e-05,-0.009578342,-0.010044977
136,False,6.118332e-05,-0.01129568,-0.024812758
137,False,6.7366556e-05,-0.023688216,-0.0005395878
138,False,6.5161985e-05,-0.017693834,0.0012812931
139,False,6.239329e-05,-0.015488528,0.009465726
140,False,5.834623e-05,-0.019727703,-0.012106352
141,False,6.221343e-05,-0.012697223,0.016737951
142,False,6.0917362e-05,-0.0017889012,0.017411996
143,False,6.3733525e-05,-0.0069835046,-0.007663165
144,False,6.710475e-05,-0.017780341,-0.0076563526
145,False,6.760987e-05,-0.016337782,-0.009266291
146,False,6.27892e-05,-0.02530748,0.0014271867
147,False,6.0515988e-05,-0.016602028,-0.018077899
148,False,6.1961466e-05,-0.02208756,0.010205528
149,False,6.3564126e-05,-0.015092575,-0.0036803435
150,False,6.549177e-05,-0.032052018,-0.008186324
151,False,6.336029e-05,-0.022397874,-0.009353794
152,False,6.5067434e-05,-0.013045696,-0.021816868
153,False,6.0810253e-05,-0.008804817,0.0070319977
154,False,6.155459e-05,-0.012273644,0.0020266175
155,False,6.0366365e-05,-0.027149688,0.004200354
156,False,6.312038e-05,-0.010645833,0.0018512784
157,False,6.356232e-05,-0.021281008,0.0034354627
158,False,6.196422e-05,-0.021237504,0.00043845177
159,False,6.434955e-05,-0.020436808,0.008939168
160,False,6.342096e-05,-0.008950591,-0.0013932027
161,False,6.338273e-05,0.0005959263,-0.0143834045
162,False,6.066756e-05,-0.015156977,-0.0088760285
163,False,7.6701675e-05,-0.015660882,0.0043145497
164,False,7.361087e-05,-0.010361563,0.00032803603
165,False,6.9776324e-05,-0.004604075,0.020229276
166,False,6.952073e-05,-0.004590854,-0.0033473927
167,False,6.9412985e-05,-0.013216869,0.018207753
168,False,6.957569e-05,-0.0060962997,0.00035817083
169,False,6.983964e-05,-0.004775038,0.009461582
170,False,6.899757e-05,-0.025084212,-0.016102873
171,False,7.410776e-05,-0.014479501,0.016523812
172,False,6.856051e-05,-0.0072217453,0.007719444
