slide_id,n_tiles_used,tumor_fraction,mean_p_tum,status,frac_ADI,meanP_ADI,frac_BACK,meanP_BACK,frac_DEB,meanP_DEB,frac_LYM,meanP_LYM,frac_MUC,meanP_MUC,frac_MUS,meanP_MUS,frac_NORM,meanP_NORM,frac_STR,meanP_STR,frac_TUM,meanP_TUM
H1966-22,2172.0,0.0,0.001991258142438709,ok,0.0032228360957642726,0.012109949772133203,0.02394106813996317,0.030555966062298583,0.1652854511970534,0.1717106367572451,0.0032228360957642726,0.008721619486409904,0.17725598526703498,0.1952398917049834,0.5418968692449355,0.4944948588157152,0.08425414364640885,0.08171257728651811,0.0009208103130755065,0.0034632419722577835,0.0,0.001991258142438709
H1560-22-2,6437.0,0.0034177411837812647,0.0037478643551160425,ok,0.030138263166071152,0.03588254772200118,0.04070219046139506,0.038274645360536715,0.01289420537517477,0.019585368714972573,0.002640981823830977,0.0037693121688242006,0.05219822898865931,0.05415923565455629,0.4926207860804723,0.4822181668170339,0.3646108435606649,0.36014247605922184,0.0007767593599502874,0.002220383147737249,0.0034177411837812647,0.0037478643551160425
H2097-22-1,926.0,0.0183585313174946,0.03420475853272319,ok,0.0,0.002818710499819238,0.04859611231101512,0.055444589038938626,0.275377969762419,0.24321700222798912,0.005399568034557235,0.009652255392579055,0.09611231101511879,0.09742943476719952,0.11231101511879049,0.12309259402053599,0.44384449244060475,0.43293269760891473,0.0,0.0012079579113005088,0.0183585313174946,0.03420475853272319
H82-23-10,5221.0,0.0,0.0004771294252796111,ok,0.0,0.0008217205505022104,0.000957670944263551,0.005353874154799917,0.03811530358168933,0.04967674396001572,0.0003830683777054204,0.0021498626735250927,0.012258188086573453,0.014353909915447147,0.8335567898869948,0.8116449004253136,0.1145374449339207,0.11459830194575203,0.0001915341888527102,0.0009235569493646205,0.0,0.0004771294252796111
H1374-21-1,2742.0,0.0040116703136396795,0.007494081324898184,ok,0.004741064916119621,0.015606948228435997,0.07804522246535375,0.08013489236370437,0.1911013858497447,0.18817029126021165,0.002552881108679796,0.005120958698243516,0.06601021152443472,0.08197700713176495,0.22064186725018234,0.20652218716297827,0.4325309992706054,0.4128127988135025,0.00036469730123997083,0.00216083501626052,0.0040116703136396795,0.007494081324898184
H1487-22-A2,4433.0,0.0,0.0006689624953827253,ok,0.0,0.008867460733836098,0.0376720054139409,0.07824959869683086,0.9621024137153169,0.848861181542268,0.0,0.0003509824486423249,0.0,0.00040442405360320436,0.00022558087074216106,0.05485192359885521,0.0,0.0010833107365986255,0.0,0.006662155693982946,0.0,0.0006689624953827253
H1175-21-A14,5071.0,0.00019719976336028398,0.00044387015169266745,ok,0.014987182015381581,0.021081570825106977,0.03391835929796884,0.03353851606739346,0.05442713468743837,0.0638912575761386,0.0015775981068822718,0.0037252127547218222,0.022086373496351803,0.03713710732746955,0.6363636363636364,0.6087899020158514,0.23466771839873793,0.22862778393543118,0.0017747978702425558,0.002764779346194291,0.00019719976336028398,0.00044387015169266745
H-7677-B-22-GIEMSA,211.0,0.0,0.0020073886581856164,ok,0.052132701421800945,0.0791047396390769,0.4834123222748815,0.46691746317725225,0.27488151658767773,0.2514565014974027,0.0,0.0033874376335104738,0.0,0.020938308673092088,0.15639810426540285,0.1421466792257415,0.03317535545023697,0.0340158152679922,0.0,2.566622774623126e-05,0.0,0.0020073886581856164
H1079-22-6,6549.0,0.05283249351045961,0.06496137189037549,ok,0.006565887921820125,0.015878584698710282,0.030233623453962438,0.045206418619951845,0.20018323408153918,0.19343560969351892,0.0007634753397465262,0.006554870583745361,0.3663154680103833,0.3285946624722386,0.21392579019697663,0.22057358176454242,0.12719499160177125,0.12139160804452839,0.001985035883340968,0.0034032922323886843,0.05283249351045961,0.06496137189037549
H1552-22-7-1,2126.0,0.0,0.0008377002931239881,ok,0.0028222013170272815,0.01044562150176973,0.10301034807149577,0.10217151415779785,0.22859830667920977,0.2304449548899437,0.0018814675446848542,0.002696789789210593,0.02492944496707432,0.04608746583818054,0.42897460018814676,0.4049928251390615,0.20884289746001883,0.20033179816538668,0.0009407337723424271,0.001991330225525427,0.0,0.0008377002931239881
