scorer,primary_variant,resolution,needs_training_on_our_data,patient_aggregation,n_patients_dirty,n_patients_clean,patient_auroc_dirty,patient_auroc_clean,primary_auroc_ci_low,primary_auroc_ci_high,primary_patient_coverage,comparable_primary,confirmatory_valid,validation_design,primary_score_source,slide_auroc_dirty,slide_auroc_clean,spec_at_sens90,spec_at_sens95,spec_at_sens96,npv_at_sens95,n_patients_qc_sensitivity,patient_auroc_qc_sensitivity,qc_sensitivity_score_source
slidefm_linearprobe,p_msih,slide,True,max_sqrtn,181,181,0.6461672473867596,0.6461672473867596,0.555383275261324,0.7362674216027872,0.8341013824884793,False,False,historical_non_nested,historical_partial_cache,0.6194931419747479,0.6194931419747479,0.24285714285714285,0.22857142857142856,0.15714285714285714,0.9411764705882353,181.0,0.6461672473867596,cache
flex_bottleneck,p_msih,slide,True,max_sqrtn,181,181,0.6229965156794425,0.6229965156794425,0.5358231707317074,0.7104529616724738,0.8341013824884793,False,False,historical_non_nested,historical_partial_cache,0.5991764314046084,0.5991764314046084,0.22142857142857142,0.16428571428571428,0.12857142857142856,0.92,181.0,0.6229965156794425,cache
tilemil_oauthc_adapt,p_msih,slide,True,max_sqrtn,181,181,0.6134146341463415,0.6134146341463415,0.518623693379791,0.7062761324041811,0.8341013824884793,False,False,historical_non_nested,historical_partial_cache,0.599327822690526,0.599327822690526,0.19285714285714287,0.12857142857142856,0.12142857142857143,0.9,181.0,0.6134146341463415,cache
clam_tilemil,p_msih,slide,True,max_sqrtn,181,181,0.6067944250871079,0.6067944250871079,0.5074912891986063,0.7026219512195121,0.8341013824884793,False,False,historical_non_nested,historical_partial_cache,0.5736215823417204,0.5736215823417204,0.08571428571428572,0.07142857142857142,0.02142857142857143,0.8333333333333334,181.0,0.6067944250871079,cache
stainnorm_probe,p_msih,slide,True,max_sqrtn,181,181,0.5909407665505226,0.5909407665505226,0.4935278745644599,0.6813632404181186,0.8341013824884793,False,False,historical_non_nested,historical_partial_cache,0.5614800012111303,0.5614800012111303,0.18571428571428572,0.15714285714285714,0.12857142857142856,0.9166666666666666,181.0,0.5909407665505226,cache
fmmap_probe,p_msih,slide,True,max_sqrtn,181,181,0.5501742160278745,0.5501742160278745,0.4494642857142857,0.6548954703832752,0.8341013824884793,False,False,historical_non_nested,historical_partial_cache,0.5046779907348532,0.5046779907348532,0.07142857142857142,0.05714285714285714,0.05,0.8,181.0,0.5501742160278745,cache
nuclear_morphology,p_msih,slide,True,max_sqrtn,212,212,0.5286911669890393,0.5286911669890393,0.44769181173436495,0.6150999355254674,0.9769585253456221,False,False,historical_non_nested,historical_partial_cache,0.43832347753916384,0.43832347753916384,0.18181818181818182,0.09090909090909091,0.05454545454545454,0.8823529411764706,,,
protonet_cluster,p_msih,slide,True,max_sqrtn,181,181,0.5214285714285715,0.5214285714285715,0.4236890243902439,0.6224999999999998,0.8341013824884793,False,False,historical_non_nested,historical_partial_cache,0.4977139915826445,0.4977139915826445,0.15714285714285714,0.08571428571428572,0.014285714285714285,0.8571428571428571,181.0,0.5214285714285715,cache
setencoder_agg,p_msih,patient,True,native,181,181,0.5158536585365854,0.5158536585365854,0.4156794425087108,0.6074999999999999,0.8341013824884793,False,False,historical_non_nested,historical_partial_cache,,,0.16428571428571428,0.16428571428571428,0.10714285714285714,0.92,181.0,0.5158536585365854,cache
tip_adapter,p_msih,slide,True,max_sqrtn,181,181,0.44407665505226485,0.44407665505226485,0.34563153310104533,0.544259581881533,0.8341013824884793,False,False,historical_non_nested,historical_partial_cache,0.3541647742755927,0.3541647742755927,0.05,0.03571428571428571,0.0,0.7142857142857143,181.0,0.44407665505226485,cache
