encoder,comparison,n_a,n_b,fd,null_mean,excess_fd,fd_ratio,p,site_macro_auroc,site_balanced_acc,auroc_stain,auroc_cut
conch_v1.5_titan_harmony,site_predictability,,,,,,,,0.6951445686042556,0.3318288617641841,0.6680652121793335,0.678200734394125
uni2_mean_harmony,LASUTH vs retrospective_msk,15.0,97.0,19.150649152494594,6.523051503909329,12.627597648585265,2.9358420887858117,0.004975124378109453,,,,
uni2_mean_harmony,LUTH vs retrospective_msk,31.0,97.0,23.678760851608477,5.326760549231303,18.352000302377174,4.445245967556308,0.004975124378109453,,,,
uni2_mean_harmony,OAUTHC vs retrospective_msk,476.0,97.0,14.191613308647703,4.593247346367077,9.598365962280626,3.0896688635486247,0.004975124378109453,,,,
uni2_mean_harmony,UITH vs retrospective_msk,12.0,97.0,21.413011802931585,8.739031208465335,12.67398059446625,2.450272952703179,0.014925373134328358,,,,
uni2_mean_harmony,retrospective_oau vs retrospective_msk,172.0,97.0,1.984002505640711,6.279375383716115,-4.295372878075404,0.3159553911660851,1.0,,,,
uni2_mean_harmony,"stain (retro_msk vs retro_oau, same patients)",97.0,172.0,1.9840025056406887,6.239867647591804,-4.255865141951115,0.31795586343989024,1.0,,,,
uni2_mean_harmony,"cut (retro_oau vs OAUTHC, same stain lab)",172.0,476.0,12.723030558663716,3.915193941087438,8.807836617576278,3.249655253381884,0.004975124378109453,,,,
uni2_mean_harmony,biology: MSI-H vs MSS (all sites),154.0,649.0,4.36968584550786,4.271998711930862,0.09768713357699799,1.0228668452788099,0.4427860696517413,,,,
uni2_mean_harmony,biology: MSI-H vs MSS (OAUTHC),83.0,393.0,10.505086595268576,10.590830303259704,-0.08574370799112785,0.9919039673438317,0.42786069651741293,,,,
uni2_mean_harmony,site_predictability,,,,,,,,0.818851362185051,0.4665226388103855,0.7372332773915128,0.8996115888215751
virchow2_mean_harmony,LASUTH vs retrospective_msk,15.0,97.0,16.024025705056573,5.785788116433729,10.238237588622844,2.7695493479172786,0.014925373134328358,,,,
virchow2_mean_harmony,LUTH vs retrospective_msk,31.0,97.0,13.144908995568045,4.123529811022312,9.021379184545733,3.187780760170893,0.004975124378109453,,,,
virchow2_mean_harmony,OAUTHC vs retrospective_msk,476.0,97.0,4.964093026258745,2.372449807628814,2.5916432186299305,2.0923911689496153,0.004975124378109453,,,,
virchow2_mean_harmony,UITH vs retrospective_msk,12.0,97.0,12.647758568152964,7.821471980757134,4.82628658739583,1.6170560476684896,0.09950248756218906,,,,
virchow2_mean_harmony,retrospective_oau vs retrospective_msk,172.0,97.0,1.298784403810204,6.411755737843861,-5.112971334033657,0.20256298850320179,1.0,,,,
virchow2_mean_harmony,"stain (retro_msk vs retro_oau, same patients)",97.0,172.0,1.2987844038102998,6.395497982550969,-5.096713578740669,0.20307791627075994,1.0,,,,
virchow2_mean_harmony,"cut (retro_oau vs OAUTHC, same stain lab)",172.0,476.0,5.675567951655818,2.1707305357850677,3.5048374158707505,2.614588894426359,0.004975124378109453,,,,
